日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,仕入れ食材計,仕入れ消耗品計,仕入れ交通費計,仕入れその他計,仕入れ合計,,,,
2023/8/19,土,晴,26℃,37℃,"¥30,260",24人,"¥1,260.83","¥19,770","¥102,640",44人,"¥2,332.73","¥48,890","¥132,900",68人,"¥1,954","¥68,660",,,,,¥0,,,,
2023/8/20,日,晴,27℃,37℃,"¥35,200",28人,"¥1,257.14","¥18,130","¥66,770",39人,"¥2,670.80","¥35,560","¥101,970",67人,"¥1,522","¥53,690",,,,,¥0,,,,
2023/8/21,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/8/22,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/8/23,水,晴,27℃,34℃,"¥34,650",24人,"¥1,443.75","¥20,400","¥110,940",62人,"¥1,789.35","¥48,140","¥145,590",86人,"¥1,693","¥68,540",,,,"¥4,576","¥4,576",,,,
2023/8/24,木,曇り/雨,25℃,31℃,"¥31,170",21人,"¥1,484.29","¥12,290","¥73,230",45人,"¥1,627.33","¥31,920","¥104,400",66人,"¥1,582","¥44,210",,,,,¥0,,,,
2023/8/25,金,晴,24℃,33℃,"¥29,780",24人,"¥1,240.83","¥12,290","¥100,560",55人,"¥1,828.36","¥39,550","¥130,340",79人,"¥1,650","¥51,840",,"¥1,628",,,"¥1,628",,,,
2023/8/26,土,晴/曇り,26℃,35℃,"¥28,930",18人,"¥1,607.22","¥14,330","¥121,770",61人,"¥1,996.23","¥78,150","¥150,700",79人,"¥1,908","¥92,480",,,,,¥0,,,,
2023/8/27,日,晴,25℃,34℃,"¥21,370",17人,"¥1,257.06","¥13,230","¥72,260",48人,"¥1,505.42","¥52,860","¥93,630",65人,"¥1,440","¥66,090",,"¥13,200",,,"¥13,200",,,,
2023/8/28,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/8/29,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/8/30,水,晴,27℃,34℃,"¥37,520",26人,"¥1,443.08","¥14,100","¥74,380",56人,"¥1,328.21","¥47,830","¥111,900",82人,"¥1,365","¥61,930","¥14,410",¥440,,,"¥14,850",,,,
2023/8/31,木,曇り,27℃,34℃,"¥24,330",14人,"¥1,737.86","¥17,830","¥75,440",41人,"¥1,840.00","¥34,490","¥99,770",55人,"¥1,814","¥52,320","¥10,090",,,,"¥10,090",,,,
