日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,仕入れ食材計,仕入れ消耗品計,仕入れ交通費計,仕入れその他計,仕入れ合計,,,,,,,
2024/2/19,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
2024/2/20,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
2024/2/21,水,雨/曇り,9℃,12℃,"¥34,180",26人,"¥1,314.62","¥1,380","¥94,360",50人,"¥1,887.20","¥91,360","¥128,540",76人,"¥1,691","¥92,740",¥534,"¥6,314",,"¥4,380","¥11,228",,,,,,,
2024/2/22,木,雨,6℃,10℃,"¥34,590",44人,¥786.14,"¥22,420","¥172,900",69人,"¥2,505.80","¥88,490","¥207,490",113人,"¥1,836","¥110,910",,,,,¥0,,,,,,,
2024/2/23,金,曇り,5℃,12℃,"¥120,310",99人,"¥1,215.25","¥68,220","¥197,590",65人,"¥3,039.85","¥73,640","¥317,900",164人,"¥1,938","¥141,860",,,,,¥0,,,,,,,
2024/2/24,土,晴,3℃,11℃,"¥117,030",88人,"¥1,329.89","¥56,670","¥184,260",98人,"¥1,880.20","¥112,390","¥301,290",186人,"¥1,620","¥169,060","¥19,180",,,,"¥19,180",,,,,,,
2024/2/25,日,雨,4℃,9℃,"¥97,620",71人,"¥1,374.93","¥61,640","¥93,740",47人,"¥1,994.47","-¥51,630","¥191,360",118人,"¥1,622","¥10,010",¥840,¥330,,,"¥1,170",,,,,,,
2024/2/26,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
2024/2/27,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
2024/2/28,水,晴,7℃,12℃,"¥69,810",48人,"¥1,454.38","¥37,710","¥77,390",39人,"¥1,984.36","¥28,700","¥147,200",87人,"¥1,692","¥66,410","¥6,600",,,,"¥6,600",,,,,,,
2024/2/29,木,雨,3℃,11℃,"¥50,040",35人,"¥1,429.71","¥26,950","¥56,170",32人,"¥1,755.31","¥31,710","¥106,210",67人,"¥1,585","¥58,660","¥13,200",,,,"¥13,200",,,,,,,
,土,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
,土,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
