日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,仕入れ食材計,仕入れ消耗品計,仕入れ交通費計,仕入れその他計,仕入れ合計,,,,
2023/3/16,木,曇り,9℃,20℃,"¥51,000",38人,"¥1,342.11","¥20,540","¥56,500",41人,"¥1,378.05","¥26,470","¥107,500",79人,"¥1,361","¥47,010","¥11,880",,,,"¥11,880",,,,
2023/3/17,金,雨,8℃,16℃,"¥58,880",43人,"¥1,369.30","¥46,560","¥76,790",47人,"¥1,633.83","¥58,330","¥135,670",90人,"¥1,507","¥104,890",,,,"¥17,520","¥17,520",,,,
2023/3/18,土,雨/曇り,7℃,14℃,"¥37,820",29人,"¥1,304.14","¥26,720","¥87,380",58人,"¥1,506.55","¥30,101","¥125,200",87人,"¥1,439","¥56,821","¥5,909",,¥200,¥120,"¥6,229",,,,
2023/3/19,日,晴,5℃,17℃,"¥75,370",54人,"¥1,395.74","¥45,710","¥68,900",54人,"¥1,275.93","¥89,590","¥144,270",108人,"¥1,336","¥89,590",¥84,,,¥320,¥404,,,,
2023/3/20,月,,,,,,#DIV/0!,,,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/3/21,火,,,,,,#DIV/0!,,,0人,#DIV/0!,,,,#DIV/0!,,,,,,¥0,,,,
2023/3/22,水,晴,10℃,25℃,"¥28,840",22人,"¥1,310.91","¥15,360","¥90,380",67人,"¥1,348.96","¥45,030","¥119,220",89人,"¥1,340","¥60,390",,"¥4,180",,¥120,"¥4,300",,,,
2023/3/23,木,雨,16℃,22℃,"¥54,070",42人,"¥1,287.38","¥18,240","¥69,730",45人,"¥1,549.56","¥39,180","¥123,800",87人,"¥1,423","¥57,420",,,,,¥0,,,,
2023/3/24,金,曇り,13℃,20℃,"¥28,620",22人,"¥1,300.91","¥2,340","¥88,290",57人,"¥1,548.95",,"¥116,910",79人,"¥1,480","¥47,420","¥4,540",¥550,,,"¥5,090",,,,
2023/3/25,土,曇り,8℃,17℃,"¥52,440",39人,"¥1,344.62","¥24,050","¥119,890",47人,"¥2,550.85","¥70,000","¥172,330",86人,"¥2,004","¥88,500","¥15,375",,,,"¥15,375",,,,
2023/3/26,日,雨,5℃,17℃,"¥92,790",66人,"¥1,405.91","¥42,970","¥73,250",44人,"¥1,664.77","¥43,580","¥166,040",110人,"¥1,509","¥86,550",¥138,,,,¥138,,,,
2023/3/27,月,,,,,,#DIV/0!,,,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/3/28,火,,,,,,#DIV/0!,,,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/3/29,水,晴,7℃,18℃,"¥80,020",63人,"¥1,270.16","¥30,240","¥153,470",102人,"¥1,504.61","¥82,160","¥233,490",165人,"¥1,415","¥121,400",¥0,,,,¥0,,,,
2023/3/30,木,晴,5℃,20℃,"¥22,140",17人,"¥1,302.35","¥6,550","¥81,210",50人,"¥1,624.20","¥38,370","¥103,350",67人,"¥1,543","¥44,920","¥24,001",,"¥1,259","¥2,880","¥28,140",,,,
2023/3/31,金,晴,8℃,24℃,"¥44,980",34人,"¥1,322.94","¥19,290","¥93,270",48人,"¥1,943.13","¥34,980","¥138,250",82人,"¥1,686","¥54,270","¥1,130",,,,"¥1,130",,,,
